-0.14625,5.3828e-06,0.020053,5.1779e-06,-0.65667,8.9954e-06
-0.14627,5.3261e-06,0.02003,4.2288e-06,-0.6567,1.0559e-05
-0.14627,1.3992e-05,0.020006,9.2082e-06,-0.65671,9.7829e-06
-0.14628,7.8493e-06,0.019981,6.5271e-06,-0.65672,1.1507e-05
-0.14628,5.5852e-06,0.01998,6.8059e-06,-0.65672,9.3869e-06
-0.14628,7.5979e-06,0.019989,6.2737e-06,-0.65672,1.0652e-05
-0.14628,6.509e-06,0.019979,6.9913e-06,-0.65673,1.047e-05
-0.14628,9.3594e-06,0.019975,8.6664e-06,-0.65673,1.1283e-05
-0.14628,6.0226e-06,0.01997,6.2111e-06,-0.65674,1.1574e-05
-0.14628,6.4134e-06,0.019979,8.7171e-06,-0.65674,1.1457e-05
